DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,YEAR,MONTH
11.0,8.0,1424.0,19930,Alaska Airlines Inc.,3,3,2024,4
11.0,8.0,1424.0,19930,Alaska Airlines Inc.,3,3,2024,4
39.0,38.0,6042.0,19930,Alaska Airlines Inc.,3,3,2024,2
60.0,45.0,8010.0,19930,Alaska Airlines Inc.,3,3,2024,3
24.0,7.0,1246.0,19930,Alaska Airlines Inc.,3,3,2024,1
24.0,9.0,1602.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,4
11.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,2
11.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,2
11.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,2
11.0,7.0,1246.0,19930,Alaska Airlines Inc.,3,3,2024,2
11.0,10.0,1240.0,19930,Alaska Airlines Inc.,3,3,2024,3
24.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,9.0,1116.0,19930,Alaska Airlines Inc.,3,3,2024,3
66.0,35.0,6230.0,19930,Alaska Airlines Inc.,3,3,2024,4
11.0,10.0,1240.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,9.0,1602.0,19930,Alaska Airlines Inc.,3,3,2024,4
24.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,1
24.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,9.0,1602.0,19930,Alaska Airlines Inc.,3,3,2024,2
11.0,9.0,1431.0,19930,Alaska Airlines Inc.,3,3,2024,4
11.0,9.0,1434.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,9.0,1431.0,19930,Alaska Airlines Inc.,3,3,2024,2
24.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,1
24.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,1
24.0,13.0,0.0,19930,Alaska Airlines Inc.,3,3,2024,3
7.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,4
7.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,4
7.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,2
7.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,3
24.0,12.0,2136.0,19930,Alaska Airlines Inc.,3,3,2024,3
24.0,11.0,1958.0,19930,Alaska Airlines Inc.,3,3,2024,2
7.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,1
7.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,1
7.0,6.0,954.0,19930,Alaska Airlines Inc.,3,3,2024,4
7.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,3
7.0,6.0,1068.0,19930,Alaska Airlines Inc.,3,3,2024,1
7.0,6.0,954.0,19930,Alaska Airlines Inc.,3,3,2024,4
7.0,6.0,957.0,19930,Alaska Airlines Inc.,3,3,2024,2
7.0,6.0,954.0,19930,Alaska Airlines Inc.,3,3,2024,1
7.0,6.0,954.0,19930,Alaska Airlines Inc.,3,3,2024,1
60.0,52.0,9256.0,19930,Alaska Airlines Inc.,3,3,2024,4
24.0,11.0,1958.0,19930,Alaska Airlines Inc.,3,3,2024,3
7.0,6.0,954.0,19930,Alaska Airlines Inc.,3,3,2024,2
7.0,6.0,957.0,19930,Alaska Airlines Inc.,3,3,2024,3
7.0,6.0,954.0,19930,Alaska Airlines Inc.,3,3,2024,2
7.0,6.0,954.0,19930,Alaska Airlines Inc.,3,3,2024,2
7.0,6.0,954.0,19930,Alaska Airlines Inc.,3,3,2024,3
7.0,6.0,744.0,19930,Alaska Airlines Inc.,3,3,2024,1
19.0,17.0,3026.0,19930,Alaska Airlines Inc.,3,3,2024,4
